,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Nigeria,,,,,,,,
,GDP growth (annual %),GDP per capita growth (annual %),GDP (constant LCU),GDP per capita (constant LCU),GDP (current LCU),GDP (current US$),GDP per capita (current US$),"GDP, PPP (current international $)",
Units,%,%,constant LCU,constant LCU,current LCU,current US$,current US$,current international $,
1960,,,8819015424300,195379.77215865,2997268700,4196092258.15484,92.9618001456259,,
1961,0.191795489475993,-1.82038174217591,8835929898100,191823.11445837,3190921200,4467200335.99328,96.9804300443769,,
1962,4.10299258913267,1.96414941563722,9198467447000,195590.807040061,3506715100,4909302953.94092,104.388533448431,,
1963,8.57861892045244,6.31106174415844,9987568915800,207934.663638257,3689708800,5165489010.2198,107.542108487282,,
1964,4.95048865913527,2.73920082099515,10482002382300,213630.411651769,3966381100,5552822483.55033,113.170338044682,,
1965,4.88497683767599,2.66464164018856,10994045770800,219322.896556749,4196100000,5874422511.54977,117.190285331831,,
1966,-4.25051418779017,-6.28851117257715,10526742295500,205530.751702758,4547800000,6366792664.14672,124.309273036642,,
1967,-15.7436282059309,-17.5537325991613,8869451126300,169452.433139809,3716600000,5203135937.28125,99.4068327311812,,
1968,-1.24836024600982,-3.39692631669764,8758728424400,163696.258844199,3715000000,5200895982.08036,97.2021478063696,,
1969,24.1973839489741,21.4491780847553,10878111570300,198807.760921773,4738800000,6634187316.25367,121.246037729658,,
1970,25.0072419254014,22.1832274561386,13598427247600,242909.738727506,8961500000,12545849083.0183,224.107455030034,,
1971,14.2375315597008,11.6180034815517,15534507618600,271131.000629896,10375400000,9181769911.50443,160.253709018685,,
1972,3.36426203025739,0.954897952936435,16057129160000,273720.025004687,11034700000,12274416017.7976,209.237493566345,,
1973,5.39276048396687,2.85425272755955,16923051676200,281532.686284259,12251600000,15162871287.1287,252.250242268737,,
1974,11.160674548765,8.34328986427302,18811778397500,305021.77436363,19604000000,24846641318.1242,402.873479672613,,
1975,-5.22774755857583,-7.77003854999577,17828346111600,281321.464909695,22945400000,27778934624.6973,438.336261441873,,
1976,9.04235173026559,5.94516093253392,19440447874700,298046.478736338,28611400000,36308883248.731,556.660775969909,,
1977,6.02411784619478,2.88582261506633,20611563364500,306647.57142312,33585000000,36035407725.3219,536.115095628504,,
1978,-5.76415839249863,-8.58979005259943,19423480205000,280307.188836479,36053000000,36527862208.7133,527.146642201378,,
1979,6.75943093484364,3.62244421490541,20736396934600,290461.16038245,42912000000,47259911894.2731,661.984282596282,,
1980,4.20483104683017,1.26931654887115,21608327390900,294148.031959228,50270000100,64201788122.6054,873.960732031519,,
1981,-13.12788048507,-15.4547822524431,18771611996200,248688.094120082,51731790000,61076493506.4935,809.147172269606,,
1982,-1.05318605956708,-3.59522679982754,18573911995500,239747.193112297,53658950000,51397461685.8238,663.424978822903,,
1983,-5.05045110920774,-7.42755117741842,17635845651100,221939.847647457,57963310000,35451565749.2355,446.143341062772,,
1984,-2.02153756872873,-4.46861695454189,17279330405700,212022.205986598,64326340000,28500815241.471,349.712956349267,,
1985,8.32282970019253,5.5820748929625,18717459648700,223857.444314481,73542020000,28873977228.1115,345.327564252475,,
1986,-8.75417697942682,-11.0988400384093,17078900105000,199011.864655946,74908220000,20721499308.4371,241.457247860573,,
1987,-10.7517001400015,-13.0645417808638,15242627978500,173011.876449094,111912930000,24093203444.564,273.470581548891,,
1988,7.54252202521535,4.75004792574751,16392306551000,181230.023497661,147941130000,23272161396.8853,257.292306221639,,
1989,6.46719114422203,3.72184247194436,17452428348600,187975.119484111,228451460000,24231168858.7187,260.986996793641,,
1990,12.7660091736101,9.8949142527014,19680406952600,206575.096373477,281550270000,30757075595.3681,322.841182633172,187284409555.388,
1991,-0.617850588622787,-3.11580451219766,19558811442400,200138.620199596,329070750000,27392886872.5547,280.302031547373,192322542311.43,
1992,0.433725356726427,-2.06679689973765,19643642967100,196002.161402133,555445510000,29300903643.0584,292.361272025446,197559798483.455,
1993,2.09037780053187,-0.433200828146681,20054269318900,195153.078415753,715241870000,15789003752.7594,153.646719233243,206488266303.876,
1994,0.909763335172016,-1.5748137851988,20236715708300,192079.780834622,945557020000,18086400535.5777,171.66974626896,212801143654.212,
1995,-0.307468969258082,-2.75861302320442,20174494087100,186781.042985576,2008564010000,28546958641.2735,264.295634183588,216571543394.86,
1996,4.9937055370533,2.413316558877,21181948915400,191288.66082479,2799036110000,34987951375,315.967071314232,231537550392.603,
1997,2.80225643858698,0.275908622838344,21775521442700,191816.442734517,2906624880000,35822342617.6978,315.552229113091,242099647000.147,
1998,2.71564017861093,0.188874659334132,22366866252100,192178.735387279,2816406010000,32004613750,274.987391068065,251372954483.161,
1999,0.47423757536906,-2.00237714799634,22472938336300,188330.592306576,3312240870000,35870792987.9432,300.60900754637,256430117866.928,
2000,5.31809338064855,2.71429067465058,23668070182400,193442.432011067,4717332100000,46386011231.37,379.119326364064,276212746140.041,
2001,4.41106519565903,1.82172750443657,24712084188700,196966.426000264,4909526480000,44137994251.618,351.799666599418,294968944732.063,
2002,3.78464818288238,1.20083398033792,25647349633900,199331.665773532,7128203100000,59116847821.5797,459.457211749486,310831996548.43,
2003,10.3541845645132,7.589886621701,28302923550900,214460.713206891,8742646650000,67655813930.0926,512.650718995388,349856049484.53,
2004,33.7357750284295,30.3565818289393,37851134166500,279563.655102468,11673602240000,87845420504.485,648.815085228871,480748168842.97,
2005,3.44466681332356,0.804664717187677,39154979623600,281813.205197158,14735323980000,112248353104.911,807.893873798136,513309924885.634,
